14	91	1
14	333	1
14	618	1
87	234	2
87	333	1
87	772	1
87	1061	2
87	1067	2
91	274	2
91	333	5
91	618	3
91	639	2
234	333	2
234	639	1
234	772	1
234	1061	2
234	1067	2
264	333	2
264	340	2
264	705	2
264	1114	2
264	1189	1
274	333	3
274	639	2
333	340	2
333	591	1
333	618	3
333	639	3
333	705	2
333	772	1
333	1061	1
333	1067	1
333	1114	2
333	1189	1
340	705	3
340	943	1
340	1114	3
340	1189	2
487	705	2
487	1114	1
487	1189	2
705	943	1
705	975	1
705	1114	4
705	1186	1
705	1189	5
772	1061	1
772	1067	1
943	1114	1
943	1189	1
975	1186	1
975	1189	1
1061	1067	2
1104	1114	1
1114	1189	3
1186	1189	1
