18	104
18	617
18	676
18	812
18	818
18	1328
18	1677
18	2047
18	2108
18	2188
18	2213
104	1094
104	1473
104	1489
104	2159
617	1094
617	1473
617	1489
617	2159
676	1094
676	1473
676	1489
676	2159
812	1094
812	1473
812	1489
812	2159
818	1094
818	1473
818	1489
818	2159
1094	1328
1094	1677
1094	2047
1094	2108
1094	2188
1094	2213
1328	1473
1328	1489
1328	2159
1473	1677
1473	2047
1473	2108
1473	2188
1473	2213
1489	1677
1489	2047
1489	2108
1489	2188
1489	2213
1677	2159
2047	2159
2108	2159
2159	2188
2159	2213
