107	122	0.5
107	614	0.5
122	451	0.5
122	552	0.5
122	575	1
122	614	0.5
236	439	1.5
236	524	0.5
236	548	1.5
236	806	0.5
320	569	2
337	354	1
348	422	1
348	696	1
354	357	0.5
354	359	0.1667
354	422	0.1667
354	424	1.5
354	425	0.1667
354	487	1
354	511	8.6667
354	713	0.1667
354	714	0.1667
354	821	0.5
357	424	1.5
359	422	0.1667
359	425	0.1667
359	511	0.1667
359	602	1
359	664	1
359	713	0.1667
359	714	1.1667
359	766	0.5
359	814	0.5
359	831	1
422	425	1.1667
422	505	1
422	511	0.1667
422	569	0.25
422	713	0.1667
422	714	0.6667
422	806	0.25
422	814	0.25
422	826	0.25
422	831	0.5
425	511	0.1667
425	713	0.1667
425	714	0.1667
425	821	1
425	831	1
439	524	0.5
439	548	1.5
439	806	0.5
444	505	1
451	458	2
451	552	0.5
505	511	0.6667
505	689	0.6667
505	713	0.3333
505	714	2.5
505	764	0.3333
505	766	1
505	831	0.5
511	689	0.6667
511	713	0.1667
511	714	0.8333
511	821	0.5
548	587	1
569	806	0.25
569	814	0.25
569	826	0.25
575	614	1
614	689	1
689	714	0.6667
689	831	2
696	740	1
713	714	0.5
713	764	0.3333
714	764	0.3333
766	814	0.5
806	814	0.25
806	826	0.25
814	826	0.25
821	831	3
